Date,Open,High,Low,Close,Vol
20211110,1044.14,1058,1030,1046.73,107613120
20211113,1036.36,1036,996,1014.77,91781472
20211114,1012.18,1031,977,997.5,101813240
20211115,986.27,992,948,957.77,116202381
20211116,928.41,966,922,944.82,74364772
20211117,946.55,969,944,953.45,63776954
20211120,942.23,950,906,913.73,119659846
20211121,898.18,959,896,935.32,119248582
20211122,981.95,982,982,981.95,38827391
20211123,1023.41,1030,1003,1019.09,291597953
20211124,1009.59,1023,985,1000.95,94755761
20211127,972.45,972,952,956.05,91775343
20211128,933.59,1004,934,975.91,82320083
20211129,976.77,992,950,970.73,50800226
20211130,986.27,986,957,966.41,50034910
20211201,951.73,959,929,942.23,51277288
20211204,962.95,963,915,937.05,64091937
20211205,939.64,954,934,942.23,46371967
20211206,927.55,960,928,938.77,44818930
20211207,927.55,937,922,929.27,43806059
20211208,924.95,946,909,928.41,65980372
20211211,932.73,948,918,925.82,35269621
20211212,931,932,886,899.91,41272290
20211213,890.41,902,855,867.95,91540524
20211214,849.82,883,848,864.5,54986097
20211215,867.95,876,857,863.64,38955116
20211218,873.14,890,868,874,32556027
20211219,872.27,874,840,850.68,33994036
20211220,857.59,865,846,855,46413981
20211221,867.09,882,854,869.68,48837887
20211222,912.86,913,913,912.86,31624654
20211225,957.77,958,958,957.77,45917636
20211226,959.5,991,951,968.14,181278736
20211227,984.55,998,955,972.45,130099276
20211228,966.41,966,945,951.73,119634201
20211229,937.91,964,938,950,236542345
20220302,900,943,900,912,2091419810
20220305,937,957,922,950,3071847825
20220306,965,975,945,957,1546834657
20220307,956,969,925,947,1777655588
20220308,926,934,909,918,1231607889
20220309,911,935,910,922,988923189
20220312,905,909,885,892,928213936
20220313,885,896,870,883,785479290
20220314,882,895,875,882,509360862
20220315,880,894,872,884,550368822
20220316,887,928,887,913,771507064
20220319,940,958,928,950,1218199038
20220326,962,966,934,945,835505813
20220327,947,963,934,949,749489366
20220328,955,996,949,993,1973556492
20220329,1042,1042,1005,1031,2983810909
20220330,1020,1040,1005,1028,1094029354
20220403,1035,1060,1027,1047,1273028761
20220404,1053,1066,1006,1030,1815665441
20220405,1016,1035,1006,1017,1813304412
20220410,1020,1048,1020,1029,893391287
20220411,1033,1037,1002,1017,1283510770
20220412,1005,1008,967,975,1710798286
20220413,950,999,950,983,849867629
20220416,995,1009,976,985,840418435
20220417,992,1010,961,987,1124061892
20220418,1010,1036,1004,1031,2860805270
20220419,1025,1048,1016,1030,1259360420
20220420,1025,1035,1012,1021,983290686
20220424,1028,1040,1012,1022,885507789
20220425,1018,1033,1007,1019,830860261
20220426,1035,1049,1026,1036,1171035379
20220427,1042,1051,1027,1039,1316844786
20220430,1038,1038,1015,1024,1048328041
20220501,1016,1037,1010,1018,962067669
20220502,1018,1025,1008,1015,880531417
20220507,1028,1045,1021,1032,1475156776
20220508,1048,1083,1046,1069,2115492913
20220509,1069,1069,1030,1044,1361130705
20220510,1032,1050,1025,1037,809840509
20220511,1040,1083,1039,1065,1439878510
20220514,1072,1087,1054,1069,1503346228
20220515,1080,1085,1040,1058,1110926166
20220516,1068,1080,1055,1065,1104965747
20220517,1078,1103,1065,1081,1550667794
20220518,1069,1076,1054,1061,958062377
20220521,1050,1052,1035,1040,872551215
20220522,1042,1052,1032,1039,658176852
20220523,1039,1044,1002,1013,1223923316
20220524,1010,1033,1001,1013,861148558
20220525,1017,1040,1007,1015,877161322
20220528,1017,1033,996,1003,829624587
20220529,994,1001,982,989,882337666
20220530,1000,1000,981,987,617040378
20220531,996,997,982,987,571424466
20220601,989,990,972,982,688638282
20220606,980,981,942,956,901901010
20220607,950,965,945,957,542635868
20220608,950,982,950,965,571454441
20220611,967,971,951,961,470818925
