date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-03-09 00:00:00,46428.899243504,47847.3489748931,45593.027080364,47281.65771297007,290357725110,5185237,4503,45145.539962723386,46606.20545992764
2021-03-10 00:00:00,47197.22618133976,47754.474290099766,46336.02455871067,46918.60212695976,181573551160,3267615,2747,47281.65771297007,47619.38383949128
2021-03-13 00:00:00,46192.49095493915,49730.17213024887,46192.49095493915,49198.25348097796,317721525280,5452573,3207,46918.60212695976,49730.17213024887
2021-03-14 00:00:00,50625.14636553009,52009.82348426707,49671.07005810766,51021.97456419252,272978260570,4517021,4478,49198.25348097796,51072.63348317071
2021-03-15 00:00:00,50321.192851661,53782.88564850345,50321.192851661,52440.42429558162,231823044900,3732285,3954,51021.97456419252,53402.943756167086
2021-03-16 00:00:00,52963.8997916895,55581.27727222892,52896.354566385264,55311.09637101195,476882073260,7279488,3790,52440.42429558162,55581.27727222892
2021-03-17 00:00:00,56737.98925556408,56737.98925556408,54205.04330665497,54711.63249643679,389519590140,6011335,5128,55311.09637101195,54314.80429777437
2021-03-27 00:00:00,54036.18024339436,55260.437452033766,53622.465738405874,54297.9179914483,191871379180,2983682,2749,54711.63249643679,54458.33790154588
2021-03-28 00:00:00,54221.92961298103,54880.4955596974,53217.19438658041,53394.50060300405,168299439970,2661376,2271,54297.9179914483,53217.19438658041
2021-03-30 00:00:00,52330.66330446223,54880.4955596974,52330.66330446223,53723.78357636224,110866200210,1742270,2192,53394.50060300405,53445.15952198224
2021-03-31 00:00:00,53191.86492709132,54323.24745093739,52769.707268939805,53487.37528779739,72668932680,1148947,1741,53723.78357636224,53234.08069290648
2021-04-03 00:00:00,53191.86492709132,53191.86492709132,52423.537989255565,52431.98114241859,164775503540,2653403,1364,53487.37528779739,52423.537989255565
2021-04-04 00:00:00,51385.03015020282,52178.68654752768,51385.03015020282,51401.91645652889,185177514640,3041738,1094,52431.98114241859,51385.03015020282
2021-04-05 00:00:00,50380.29492380221,51376.5869970398,50380.29492380221,50532.27168073676,209282991650,3497027,2403,51401.91645652889,51038.86087051858
